intervention,model_use,evidence_type,estimate,uncertainty_or_heterogeneity,source,doi_or_identifier,interpretation_limit
laptop_internet_package,direct ICTHOME target,programme definition,Target 90th percentile,Not a causal effect estimate,OECD PISA 2022 ICT framework,PISA 2022,"Direct access only; no achievement spillover is assumed"
school_ict_upgrade,direct ICTQUAL target,programme definition,Target 80th percentile,Not a causal effect estimate,OECD PISA 2022 ICT framework,PISA 2022,"Infrastructure quality only; meaningful use remains separate"
school_resource_upgrade,direct reverse EDUSHORT target,programme definition,Target 75th percentile,Not a causal effect estimate,OECD PISA 2022 school questionnaire,PISA 2022,"School shortages only; home resources remain unchanged"
growth_mindset_workshop,GROSAGR standardized shift,randomized national experiment,0.33 SD on mindset beliefs,"Transportability to Korea uncertain; sensitivity scenarios 0.20/0.33/0.40",Yeager et al. 2019,10.1038/s41586-019-1466-y,"Effect was measured on mindset beliefs; grade effects were smaller and heterogeneous"
whole_school_belonging_program,BELONG standardized shift,meta-analysis of whole-school interventions,0.22 SD social-emotional adjustment,"Programmes and measured outcomes vary; sensitivity scenarios 0.10/0.22/0.32",Goldberg et al. 2019,10.1007/s10212-018-0406-9,"Approximate mapping from broad social-emotional adjustment to school belonging"
structured_tutoring,TEACHSUP proxy target plus separate learning outcome,meta-analysis of randomized tutoring evaluations,0.288 SD pooled learning effect,"SE 0.029; 95% prediction interval -0.085 to 0.662",Nickow Oreopoulos Quan 2024,10.3102/00028312231208687,"Learning effect is not a direct estimate of the human-support vector"
generic_hagwon_access,disabled,Korean causal observational studies,At most modest average achievement effects,"Endogeneity and programme heterogeneity remain substantial",Kang 2012 KDI; Ryu and Kang 2013,KDI JEP / 10.1111/asej.12002,"Cannot map generic access to one defensible student vector change"
guided_digital_learning,direct ICTENQ target,programme definition,Target 70th percentile,Not a causal effect estimate,OECD PISA 2022 ICT framework,PISA 2022,"Meaningful digital-use condition only; no achievement spillover is assumed"
digital_inclusion_package,sequential policy package,scenario synthesis,No summed causal estimate,Components have separate evidence and assumptions,Model design inspired by transparent scenario-planning principles in UNESCO SimuED,UNESCO SimuED,"Package components are applied sequentially; evidence is not treated as one evaluated intervention"
targeted_learning_support_package,sequential policy package,scenario synthesis,No summed causal estimate,Components have separate evidence and assumptions,Model design inspired by transparent scenario-planning principles in UNESCO SimuED,UNESCO SimuED,"Package effects are not blindly added; component outcomes remain separate"
